01001;L ABERGEMENT CLEMENCIAT               ;01400;L ABERGEMENT CLEMENCIAT               
01002;L ABERGEMENT DE VAREY                 ;01640;L ABERGEMENT DE VAREY                 
01004;AMBERIEU EN BUGEY                     ;01500;AMBERIEU EN BUGEY                     
01005;AMBERIEUX EN DOMBES                   ;01330;AMBERIEUX EN DOMBES                   
01006;AMBLEON                               ;01300;AMBLEON                               
01007;AMBRONAY                              ;01500;AMBRONAY                              
01008;AMBUTRIX                              ;01500;AMBUTRIX                              
01009;ANDERT ET CONDON                      ;01300;ANDERT ET CONDON                      
01010;ANGLEFORT                             ;01350;ANGLEFORT                             
01011;APREMONT                              ;01100;APREMONT                              
01012;ARANC                                 ;01110;ARANC                                 
01013;ARANDAS                               ;01230;ARANDAS                               
01014;ARBENT                                ;01100;ARBENT                                
01015;ARBIGNIEU                             ;01300;ARBIGNIEU                             
01016;ARBIGNY                               ;01190;ARBIGNY                               
01017;ARGIS                                 ;01230;ARGIS                                 
01019;ARMIX                                 ;01510;ARMIX                                 
01021;ARS SUR FORMANS                       ;01480;ARS SUR FORMANS                       
01022;ARTEMARE                              ;01510;ARTEMARE                              
01023;ASNIERES SUR SAONE                    ;01570;ASNIERES SUR SAONE                    
01024;ATTIGNAT                              ;01340;ATTIGNAT                              
01025;BAGE LA VILLE                         ;01380;BAGE LA VILLE                         
01026;BAGE LE CHATEL                        ;01380;BAGE LE CHATEL                        
01027;BALAN                                 ;01360;BALAN                                 
01028;BANEINS                               ;01990;BANEINS                               
01029;BEAUPONT                              ;01270;BEAUPONT                              
01030;BEAUREGARD                            ;01480;BEAUREGARD                            
01031;BELLIGNAT                             ;01100;BELLIGNAT                             
01032;BELIGNEUX                             ;01360;BELIGNEUX                             
01033;BELLEGARDE SUR VALSERINE              ;01200;BELLEGARDE SUR VALSERINE              
01034;BELLEY                                ;01300;BELLEY                                
01035;BELLEYDOUX                            ;01130;BELLEYDOUX                            
01036;BELMONT LUTHEZIEU                     ;01260;BELMONT LUTHEZIEU                     
01037;BENONCES                              ;01470;BENONCES                              
01038;BENY                                  ;01370;BENY                                  
01039;BEON                                  ;01350;BEON                                  
01040;BEREZIAT                              ;01340;BEREZIAT                              
01041;BETTANT                               ;01500;BETTANT                               
01042;BEY                                   ;01290;BEY                                   
01043;BEYNOST                               ;01700;BEYNOST                               
01044;BILLIAT                               ;01200;BILLIAT                               
01045;BIRIEUX                               ;01330;BIRIEUX                               
01046;BIZIAT                                ;01290;BIZIAT                                
01047;BLYES                                 ;01150;BLYES                                 
01049;LA BOISSE                             ;01120;LA BOISSE                             
01050;BOISSEY                               ;01190;BOISSEY                               
01050;BOISSEY                               ;01380;BOISSEY                               
01051;BOLOZON                               ;01450;BOLOZON                               
01052;BOULIGNEUX                            ;01330;BOULIGNEUX                            
01053;BOURG EN BRESSE                       ;01000;BOURG EN BRESSE                       
01054;BOURG ST CHRISTOPHE                   ;01800;BOURG ST CHRISTOPHE                   
01056;BOYEUX ST JEROME                      ;01640;BOYEUX ST JEROME                      
01057;BOZ                                   ;01190;BOZ                                   
01058;BREGNIER CORDON                       ;01300;BREGNIER CORDON                       
01059;BRENAZ                                ;01260;BRENAZ                                
01060;BRENOD                                ;01110;BRENOD                                
01061;BRENS                                 ;01300;BRENS                                 
01062;BRESSOLLES                            ;01360;BRESSOLLES                            
01063;BRION                                 ;01460;BRION                                 
01064;BRIORD                                ;01470;BRIORD                                
01065;BUELLAS                               ;01310;BUELLAS                               
01066;LA BURBANCHE                          ;01510;LA BURBANCHE                          
01067;CEIGNES                               ;01430;CEIGNES                               
01068;CERDON                                ;01450;CERDON                                
01069;CERTINES                              ;01240;CERTINES                              
01071;CESSY                                 ;01170;CESSY                                 
01072;CEYZERIAT                             ;01250;CEYZERIAT                             
01073;CEYZERIEU                             ;01350;CEYZERIEU                             
01074;CHALAMONT                             ;01320;CHALAMONT                             
01075;CHALEINS                              ;01480;CHALEINS                              
01076;CHALEY                                ;01230;CHALEY                                
01077;CHALLES LA MONTAGNE                   ;01450;CHALLES LA MONTAGNE                   
01078;CHALLEX                               ;01630;CHALLEX                               
01079;CHAMPAGNE EN VALROMEY                 ;01260;CHAMPAGNE EN VALROMEY                 
01080;CHAMPDOR                              ;01110;CHAMPDOR                              
01081;CHAMPFROMIER                          ;01410;CHAMPFROMIER                          
01082;CHANAY                                ;01420;CHANAY                                
01083;CHANEINS                              ;01990;CHANEINS                              
01084;CHANOZ CHATENAY                       ;01400;CHANOZ CHATENAY                       
01085;LA CHAPELLE DU CHATELARD              ;01240;LA CHAPELLE DU CHATELARD              
01087;CHARIX                                ;01130;CHARIX                                
01088;CHARNOZ SUR AIN                       ;01800;CHARNOZ SUR AIN                       
01089;CHATEAU GAILLARD                      ;01500;CHATEAU GAILLARD                      
01090;CHATENAY                              ;01320;CHATENAY                              
01091;CHATILLON EN MICHAILLE                ;01200;CHATILLON EN MICHAILLE                
01092;CHATILLON LA PALUD                    ;01320;CHATILLON LA PALUD                    
01093;CHATILLON SUR CHALARONNE              ;01400;CHATILLON SUR CHALARONNE              
01094;CHAVANNES SUR REYSSOUZE               ;01190;CHAVANNES SUR REYSSOUZE               
01095;CHAVANNES SUR SURAN                   ;01250;CHAVANNES SUR SURAN                   
01096;CHAVEYRIAT                            ;01660;CHAVEYRIAT                            
01097;CHAVORNAY                             ;01510;CHAVORNAY                             
01098;CHAZEY BONS                           ;01300;CHAZEY BONS                           
01099;CHAZEY SUR AIN                        ;01150;CHAZEY SUR AIN                        
01100;CHEIGNIEU LA BALME                    ;01510;CHEIGNIEU LA BALME                    
01101;CHEVILLARD                            ;01430;CHEVILLARD                            
01102;CHEVROUX                              ;01190;CHEVROUX                              
